"Name","Geoid","pa_or_restart_cat"
"Pike Road City School District","0100195","Did not receive either PA or Restart Grant"
"Clarkdale-Jerome Elementary District","0400004","Did not receive either PA or Restart Grant"
"Crane Elementary District","0402400","Did not receive either PA or Restart Grant"
"Crane Elementary District","0402400","Did not receive either PA or Restart Grant"
"Gadsden Elementary District","0403240","Did not receive either PA or Restart Grant"
"Hyder Elementary District","0403900","Did not receive either PA or Restart Grant"
"Wellton Elementary District","0409090","Did not receive either PA or Restart Grant"
"Murphy Elementary District","0405400","Did not receive either PA or Restart Grant"
"Osborn Elementary District","0405670","Did not receive either PA or Restart Grant"
"Palo Verde Elementary District","0405850","Did not receive either PA or Restart Grant"
"Pendergast Elementary District","0406210","Did not receive either PA or Restart Grant"
"Concho Elementary District","0402190","Did not receive either PA or Restart Grant"
"Tempe School District","0408310","Did not receive either PA or Restart Grant"
"Union Elementary District","0408820","Did not receive either PA or Restart Grant"
"Avondale Elementary District","0400960","Did not receive either PA or Restart Grant"
"McNary Elementary District","0404860","Did not receive either PA or Restart Grant"
"Naco Elementary District","0405430","Did not receive either PA or Restart Grant"
"Cochise Elementary District","0402130","Did not receive either PA or Restart Grant"
"Apache Elementary District","0400750","Did not receive either PA or Restart Grant"
"Double Adobe Elementary District","0402490","Did not receive either PA or Restart Grant"
"Chevelon Butte School District","0401920","Did not receive either PA or Restart Grant"
"Maine Consolidated School District","0404530","Did not receive either PA or Restart Grant"
"Pine Strawberry Elementary District","0406510","Did not receive either PA or Restart Grant"
"Tonto Basin Elementary District","0405760","Did not receive either PA or Restart Grant"
"Solomon Elementary District","0407860","Did not receive either PA or Restart Grant"
"Klondyke Elementary District","0404200","Did not receive either PA or Restart Grant"
"Aguila Elementary District","0400480","Did not receive either PA or Restart Grant"
"Morristown Elementary District","0405340","Did not receive either PA or Restart Grant"
"Mobile Elementary District","0405100","Did not receive either PA or Restart Grant"
"Paloma School District","0408430","Did not receive either PA or Restart Grant"
"San Fernando Elementary District","0407380","Did not receive either PA or Restart Grant"
"Empire Elementary District","0402820","Did not receive either PA or Restart Grant"
"Red Rock Elementary District","0406900","Did not receive either PA or Restart Grant"
"Casa Grande Elementary District","0401710","Did not receive either PA or Restart Grant"
"Redington Elementary District","0406930","Did not receive either PA or Restart Grant"
"Santa Cruz Elementary District","0407500","Did not receive either PA or Restart Grant"
"Williamson Valley Elementary School District","0409360","Did not receive either PA or Restart Grant"
"Kirkland Elementary District","0404170","Did not receive either PA or Restart Grant"
"Beaver Creek Elementary District","0401080","Did not receive either PA or Restart Grant"
"Ash Creek Elementary District","0400870","Did not receive either PA or Restart Grant"
"Pomerene Elementary District","0406630","Did not receive either PA or Restart Grant"
"Crown King Elementary District","0402460","Did not receive either PA or Restart Grant"
"Bouse Elementary District","0401290","Did not receive either PA or Restart Grant"
"Owens-Whitney Elementary District","0405730","Did not receive either PA or Restart Grant"
"Owens-Whitney Elementary District","0405730","Did not receive either PA or Restart Grant"
"Valentine Elementary District","0408880","Did not receive either PA or Restart Grant"
"Bullhead City School District","0401500","Did not receive either PA or Restart Grant"
"Bullhead City School District","0401500","Did not receive either PA or Restart Grant"
"Three Rivers Union Elementary School District","0639210","Did not receive either PA or Restart Grant"
"Richgrove Elementary School District","0632430","Did not receive either PA or Restart Grant"
"Tipton Elementary School District","0639300","Did not receive either PA or Restart Grant"
"Kings River Union Elementary School District","0619740","Did not receive either PA or Restart Grant"
"Strathmore Union Elementary School District","0638130","Did not receive either PA or Restart Grant"
"Stone Corral Elementary School District","0638040","Did not receive either PA or Restart Grant"
